Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Gross_Sales,Discounts,Sales,COGS,Profit,Date,Month_Number,Month_Name,Year,Profit_Margin_Pct,Gross_Margin_Pct,Discount_Pct,Unit_Profit,Unit_Cost,Markup_Pct,Contribution_Margin,Contribution_Margin_Pct,Quarter,Week,Day_of_Week,Is_Weekend,Fiscal_Year,Year_Month,Revenue_Category,Profit_Category,Discount_Tier,Sales_Per_Unit,COGS_Per_Unit,Discount_Per_Unit,Is_High_Margin,Is_Loss,Is_Heavy_Discount
Channel Partners,France,Carretera,Low,2671,3,12,32052.0,320.52,31731.48,8013.0,23718.48,2014-01-09,9,September,2014,74.75,74.75,1.0,8.88,3.0,300.0,23718.48,74.75,1,2,Thursday,0,2015,2014-01,Medium,High Profit,Low Discount,11.88,3.0,0.12,1,0,0
Channel Partners,Germany,Carretera,Low,766,3,12,9192.0,91.92,9100.08,2298.0,6802.08,2013-01-10,10,October,2013,74.75,74.75,1.0,8.88,3.0,300.0,6802.08,74.75,1,2,Thursday,0,2014,2013-01,Small,Medium Profit,Low Discount,11.88,3.0,0.12,1,0,0
Small Business,Mexico,Carretera,Low,494,3,300,148200.0,1482.0,146718.0,123500.0,23218.0,2013-01-10,10,October,2013,15.82,15.82,1.0,47.0,250.0,9900.0,23218.0,15.82,1,2,Thursday,0,2014,2013-01,Enterprise,High Profit,Low Discount,297.0,250.0,3.0,0,0,0
Government,Mexico,Carretera,Low,1397,3,350,488950.0,4889.5,484060.5,363220.0,120840.5,2014-01-10,10,October,2014,24.96,24.96,1.0,86.5,260.0,11566.67,120840.5,24.96,1,2,Friday,0,2015,2014-01,Enterprise,High Profit,Low Discount,346.5,260.0,3.5,0,0,0
Government,France,Carretera,Low,2155,3,350,754250.0,7542.5,746707.5,560300.0,186407.5,2014-01-12,12,December,2014,24.96,24.96,1.0,86.5,260.0,11566.67,186407.5,24.96,1,2,Sunday,1,2015,2014-01,Enterprise,High Profit,Low Discount,346.5,260.0,3.5,0,0,0
Midmarket,Mexico,Montana,Low,2214,5,15,33210.0,332.1,32877.9,22140.0,10737.9,2014-01-03,3,March,2014,32.66,32.66,1.0,4.85,10.0,200.0,10737.900000000001,32.66,1,1,Friday,0,2014,2014-01,Medium,Medium Profit,Low Discount,14.85,10.0,0.15,1,0,0
Small Business,United States Of America,Montana,Low,2301,5,300,690300.0,6903.0,683397.0,575250.0,108147.0,2014-01-04,4,April,2014,15.82,15.82,1.0,47.0,250.0,5900.0,108147.0,15.82,1,1,Saturday,1,2015,2014-01,Enterprise,High Profit,Low Discount,297.0,250.0,3.0,0,0,0
Government,France,Montana,Low,1375,5,20,27510.0,275.1,27234.9,13755.0,13479.9,2014-01-07,7,July,2014,49.49,49.49,1.0,9.8,10.0,300.0,13479.900000000001,49.49,1,2,Tuesday,0,2015,2014-01,Medium,Medium Profit,Low Discount,19.81,10.0,0.2,1,0,0
Government,Canada,Montana,Low,1830,5,7,12810.0,128.1,12681.9,9150.0,3531.9,2014-01-08,8,August,2014,27.85,27.85,1.0,1.93,5.0,40.0,3531.8999999999996,27.85,1,2,Wednesday,0,2015,2014-01,Medium,Low Profit,Low Discount,6.93,5.0,0.07,0,0,0
Small Business,United States Of America,Montana,Low,2498,5,300,749400.0,7494.0,741906.0,624500.0,117406.0,2013-01-09,9,September,2013,15.82,15.82,1.0,47.0,250.0,5900.0,117406.0,15.82,1,2,Wednesday,0,2014,2013-01,Enterprise,High Profit,Low Discount,297.0,250.0,3.0,0,0,0
Enterprise,United States Of America,Montana,Low,663,5,125,82875.0,828.75,82046.25,79560.0,2486.25,2013-01-10,10,October,2013,3.03,3.03,1.0,3.75,120.0,2400.0,2486.25,3.03,1,2,Thursday,0,2014,2013-01,Large,Low Profit,Low Discount,123.75,120.0,1.25,0,0,0
Midmarket,United States Of America,Paseo,Low,1514,10,15,22710.0,227.1,22482.9,15140.0,7342.9000000000015,2014-01-02,2,February,2014,32.66,32.66,1.0,4.85,10.0,50.0,7342.9000000000015,32.66,1,1,Thursday,0,2014,2014-01,Medium,Medium Profit,Low Discount,14.85,10.0,0.15,1,0,0
Government,United States Of America,Paseo,Low,4492,10,7,31447.5,314.48,31133.02,22462.5,8670.529999999999,2014-01-04,4,April,2014,27.85,27.85,1.0,1.93,5.0,-30.0,8670.52,27.85,1,1,Saturday,1,2015,2014-01,Medium,Medium Profit,Low Discount,6.93,5.0,0.07,0,0,0
Enterprise,United States Of America,Paseo,Low,727,10,125,90875.0,908.75,89966.25,87240.0,2726.25,2014-01-06,6,June,2014,3.03,3.03,1.0,3.75,120.0,1150.0,2726.25,3.03,1,2,Monday,0,2015,2014-01,Large,Low Profit,Low Discount,123.75,120.0,1.25,0,0,0
Enterprise,France,Paseo,Low,787,10,125,98375.0,983.75,97391.25,94440.0,2951.25,2014-01-06,6,June,2014,3.03,3.03,1.0,3.75,120.0,1150.0,2951.25,3.03,1,2,Monday,0,2015,2014-01,Large,Low Profit,Low Discount,123.75,120.0,1.25,0,0,0
Enterprise,Mexico,Paseo,Low,1823,10,125,227875.0,2278.75,225596.25,218760.0,6836.25,2014-01-07,7,July,2014,3.03,3.03,1.0,3.75,120.0,1150.0,6836.25,3.03,1,2,Tuesday,0,2015,2014-01,Enterprise,Medium Profit,Low Discount,123.75,120.0,1.25,0,0,0
Midmarket,Germany,Paseo,Low,747,10,15,11205.0,112.05,11092.95,7470.0,3622.9500000000007,2014-01-09,9,September,2014,32.66,32.66,1.0,4.85,10.0,50.0,3622.9500000000007,32.66,1,2,Thursday,0,2015,2014-01,Medium,Low Profit,Low Discount,14.85,10.0,0.15,1,0,0
Channel Partners,Germany,Paseo,Low,766,10,12,9192.0,91.92,9100.08,2298.0,6802.08,2013-01-10,10,October,2013,74.75,74.75,1.0,8.88,3.0,20.0,6802.08,74.75,1,2,Thursday,0,2014,2013-01,Small,Medium Profit,Low Discount,11.88,3.0,0.12,1,0,0
Small Business,United States Of America,Paseo,Low,2905,10,300,871500.0,8715.0,862785.0,726250.0,136535.0,2014-01-11,11,November,2014,15.82,15.82,1.0,47.0,250.0,2900.0,136535.0,15.82,1,2,Saturday,1,2015,2014-01,Enterprise,High Profit,Low Discount,297.0,250.0,3.0,0,0,0
Government,France,Paseo,Low,2155,10,350,754250.0,7542.5,746707.5,560300.0,186407.5,2014-01-12,12,December,2014,24.96,24.96,1.0,86.5,260.0,3400.0,186407.5,24.96,1,2,Sunday,1,2015,2014-01,Enterprise,High Profit,Low Discount,346.5,260.0,3.5,0,0,0
Government,France,Velo,Low,3864,120,20,77280.0,772.8,76507.2,38640.0,37867.2,2014-01-04,4,April,2014,49.49,49.49,1.0,9.8,10.0,-83.33,37867.2,49.49,1,1,Saturday,1,2015,2014-01,Large,High Profit,Low Discount,19.8,10.0,0.2,1,0,0
Government,Mexico,Velo,Low,362,120,7,2534.0,25.34,2508.66,1810.0,698.6599999999999,2014-01-05,5,May,2014,27.85,27.85,1.0,1.93,5.0,-94.17,698.6599999999999,27.85,1,1,Sunday,1,2015,2014-01,Small,Low Profit,Low Discount,6.93,5.0,0.07,0,0,0
Enterprise,Canada,Velo,Low,923,120,125,115375.0,1153.75,114221.25,110760.0,3461.25,2014-01-08,8,August,2014,3.03,3.03,1.0,3.75,120.0,4.17,3461.25,3.03,1,2,Wednesday,0,2015,2014-01,Enterprise,Low Profit,Low Discount,123.75,120.0,1.25,0,0,0
Enterprise,United States Of America,Velo,Low,663,120,125,82875.0,828.75,82046.25,79560.0,2486.25,2013-01-10,10,October,2013,3.03,3.03,1.0,3.75,120.0,4.17,2486.25,3.03,1,2,Thursday,0,2014,2013-01,Large,Low Profit,Low Discount,123.75,120.0,1.25,0,0,0
Government,Canada,Velo,Low,2092,120,7,14644.0,146.44,14497.56,10460.0,4037.56,2013-01-11,11,November,2013,27.85,27.85,1.0,1.93,5.0,-94.17,4037.5599999999995,27.85,1,2,Friday,0,2014,2013-01,Medium,Low Profit,Low Discount,6.93,5.0,0.07,0,0,0
Government,Germany,Vtt,Low,263,250,7,1841.0,18.41,1822.59,1315.0,507.5899999999999,2014-01-03,3,March,2014,27.85,27.85,1.0,1.93,5.0,-97.2,507.5899999999999,27.85,1,1,Friday,0,2014,2014-01,Small,Low Profit,Low Discount,6.93,5.0,0.07,0,0,0
Government,Canada,Vtt,Low,943,250,350,330225.0,3302.25,326922.75,245310.0,81612.75,2014-01-04,4,April,2014,24.96,24.96,1.0,86.55,260.14,40.0,81612.75,24.96,1,1,Saturday,1,2015,2014-01,Enterprise,High Profit,Low Discount,346.68,260.14,3.5,0,0,0
Enterprise,United States Of America,Vtt,Low,727,250,125,90875.0,908.75,89966.25,87240.0,2726.25,2014-01-06,6,June,2014,3.03,3.03,1.0,3.75,120.0,-50.0,2726.25,3.03,1,2,Monday,0,2015,2014-01,Large,Low Profit,Low Discount,123.75,120.0,1.25,0,0,0
Enterprise,France,Vtt,Low,787,250,125,98375.0,983.75,97391.25,94440.0,2951.25,2014-01-06,6,June,2014,3.03,3.03,1.0,3.75,120.0,-50.0,2951.25,3.03,1,2,Monday,0,2015,2014-01,Large,Low Profit,Low Discount,123.75,120.0,1.25,0,0,0
Small Business,Germany,Vtt,Low,986,250,300,295800.0,2958.0,292842.0,246500.0,46342.0,2014-01-09,9,September,2014,15.82,15.82,1.0,47.0,250.0,20.0,46342.0,15.82,1,2,Thursday,0,2015,2014-01,Enterprise,High Profit,Low Discount,297.0,250.0,3.0,0,0,0
Small Business,Mexico,Vtt,Low,494,250,300,148200.0,1482.0,146718.0,123500.0,23218.0,2013-01-10,10,October,2013,15.82,15.82,1.0,47.0,250.0,20.0,23218.0,15.82,1,2,Thursday,0,2014,2013-01,Enterprise,High Profit,Low Discount,297.0,250.0,3.0,0,0,0
Government,Mexico,Vtt,Low,1397,250,350,488950.0,4889.5,484060.5,363220.0,120840.5,2014-01-10,10,October,2014,24.96,24.96,1.0,86.5,260.0,40.0,120840.5,24.96,1,2,Friday,0,2015,2014-01,Enterprise,High Profit,Low Discount,346.5,260.0,3.5,0,0,0
Enterprise,France,Vtt,Low,1744,250,125,218000.0,2180.0,215820.0,209280.0,6540.0,2014-01-11,11,November,2014,3.03,3.03,1.0,3.75,120.0,-50.0,6540.0,3.03,1,2,Saturday,1,2015,2014-01,Enterprise,Medium Profit,Low Discount,123.75,120.0,1.25,0,0,0
Channel Partners,United States Of America,Amarilla,Low,1989,260,12,23868.0,238.68,23629.32,5967.0,17662.32,2013-01-09,9,September,2013,74.75,74.75,1.0,8.88,3.0,-95.38,17662.32,74.75,1,2,Wednesday,0,2014,2013-01,Medium,Medium Profit,Low Discount,11.88,3.0,0.12,1,0,0
Midmarket,France,Amarilla,Low,321,260,15,4815.0,48.15,4766.85,3210.0,1556.8500000000004,2013-01-11,11,November,2013,32.66,32.66,1.0,4.85,10.0,-94.23,1556.8500000000004,32.66,1,2,Friday,0,2014,2013-01,Small,Low Profit,Low Discount,14.85,10.0,0.15,1,0,0
Enterprise,Canada,Carretera,Low,742,3,125,92812.5,1856.25,90956.25,89100.0,1856.25,2014-01-04,4,April,2014,2.04,2.04,2.0,2.5,120.08,4066.67,1856.25,2.04,1,1,Saturday,1,2015,2014-01,Large,Low Profit,Low Discount,122.58,120.08,2.5,0,0,0
Channel Partners,Canada,Carretera,Low,1295,3,12,15540.0,310.8,15229.2,3885.0,11344.2,2014-01-10,10,October,2014,74.49,74.49,2.0,8.76,3.0,300.0,11344.2,74.49,1,2,Friday,0,2015,2014-01,Medium,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Small Business,Germany,Carretera,Low,214,3,300,64200.0,1284.0,62916.0,53500.0,9416.0,2013-01-10,10,October,2013,14.97,14.97,2.0,44.0,250.0,9900.0,9416.0,14.97,1,2,Thursday,0,2014,2013-01,Large,Medium Profit,Low Discount,294.0,250.0,6.0,0,0,0
Government,France,Carretera,Low,2145,3,7,15015.0,300.3,14714.7,10725.0,3989.7000000000007,2013-01-11,11,November,2013,27.11,27.11,2.0,1.86,5.0,133.33,3989.7000000000007,27.11,1,2,Friday,0,2014,2013-01,Medium,Low Profit,Low Discount,6.86,5.0,0.14,0,0,0
Government,Canada,Carretera,Low,2852,3,350,998200.0,19964.0,978236.0,741520.0,236716.0,2014-01-12,12,December,2014,24.2,24.2,2.0,83.0,260.0,11566.67,236716.0,24.2,1,2,Sunday,1,2015,2014-01,Enterprise,High Profit,Low Discount,343.0,260.0,7.0,0,0,0
Channel Partners,United States Of America,Montana,Low,1142,5,12,13704.0,274.08,13429.92,3426.0,10003.92,2014-01-06,6,June,2014,74.49,74.49,2.0,8.76,3.0,140.0,10003.92,74.49,1,2,Monday,0,2015,2014-01,Medium,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Government,United States Of America,Montana,Low,1566,5,20,31320.0,626.4,30693.6,15660.0,15033.6,2014-01-10,10,October,2014,48.98,48.98,2.0,9.6,10.0,300.0,15033.599999999999,48.98,1,2,Friday,0,2015,2014-01,Medium,Medium Profit,Low Discount,19.6,10.0,0.4,1,0,0
Channel Partners,Mexico,Montana,Low,690,5,12,8280.0,165.6,8114.4,2070.0,6044.4,2014-01-11,11,November,2014,74.49,74.49,2.0,8.76,3.0,140.0,6044.4,74.49,1,2,Saturday,1,2015,2014-01,Small,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Enterprise,Mexico,Montana,Low,1660,5,125,207500.0,4150.0,203350.0,199200.0,4150.0,2013-01-11,11,November,2013,2.04,2.04,2.0,2.5,120.0,2400.0,4150.0,2.04,1,2,Friday,0,2014,2013-01,Enterprise,Low Profit,Low Discount,122.5,120.0,2.5,0,0,0
Midmarket,Canada,Paseo,Low,2363,10,15,35445.0,708.9,34736.1,23630.0,11106.1,2014-01-02,2,February,2014,31.97,31.97,2.0,4.7,10.0,50.0,11106.099999999999,31.97,1,1,Thursday,0,2014,2014-01,Medium,Medium Profit,Low Discount,14.7,10.0,0.3,1,0,0
Small Business,France,Paseo,Low,918,10,300,275400.0,5508.0,269892.0,229500.0,40392.0,2014-01-05,5,May,2014,14.97,14.97,2.0,44.0,250.0,2900.0,40392.0,14.97,1,1,Sunday,1,2015,2014-01,Enterprise,High Profit,Low Discount,294.0,250.0,6.0,0,0,0
Small Business,Germany,Paseo,Low,1728,10,300,518400.0,10368.0,508032.0,432000.0,76032.0,2014-01-05,5,May,2014,14.97,14.97,2.0,44.0,250.0,2900.0,76032.0,14.97,1,1,Sunday,1,2015,2014-01,Enterprise,High Profit,Low Discount,294.0,250.0,6.0,0,0,0
Channel Partners,United States Of America,Paseo,Low,1142,10,12,13704.0,274.08,13429.92,3426.0,10003.92,2014-01-06,6,June,2014,74.49,74.49,2.0,8.76,3.0,20.0,10003.92,74.49,1,2,Monday,0,2015,2014-01,Medium,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Enterprise,Mexico,Paseo,Low,662,10,125,82750.0,1655.0,81095.0,79440.0,1655.0,2014-01-06,6,June,2014,2.04,2.04,2.0,2.5,120.0,1150.0,1655.0,2.04,1,2,Monday,0,2015,2014-01,Large,Low Profit,Low Discount,122.5,120.0,2.5,0,0,0
Channel Partners,Canada,Paseo,Low,1295,10,12,15540.0,310.8,15229.2,3885.0,11344.2,2014-01-10,10,October,2014,74.49,74.49,2.0,8.76,3.0,20.0,11344.2,74.49,1,2,Friday,0,2015,2014-01,Medium,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Enterprise,Germany,Paseo,Low,809,10,125,101125.0,2022.5,99102.5,97080.0,2022.5,2013-01-10,10,October,2013,2.04,2.04,2.0,2.5,120.0,1150.0,2022.5,2.04,1,2,Thursday,0,2014,2013-01,Large,Low Profit,Low Discount,122.5,120.0,2.5,0,0,0
Enterprise,Mexico,Paseo,Low,2145,10,125,268125.0,5362.5,262762.5,257400.0,5362.5,2013-01-10,10,October,2013,2.04,2.04,2.0,2.5,120.0,1150.0,5362.5,2.04,1,2,Thursday,0,2014,2013-01,Enterprise,Medium Profit,Low Discount,122.5,120.0,2.5,0,0,0
Channel Partners,France,Paseo,Low,1785,10,12,21420.0,428.4,20991.6,5355.0,15636.6,2013-01-11,11,November,2013,74.49,74.49,2.0,8.76,3.0,20.0,15636.599999999999,74.49,1,2,Friday,0,2014,2013-01,Medium,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Small Business,Canada,Paseo,Low,1916,10,300,574800.0,11496.0,563304.0,479000.0,84304.0,2014-01-12,12,December,2014,14.97,14.97,2.0,44.0,250.0,2900.0,84304.0,14.97,1,2,Sunday,1,2015,2014-01,Enterprise,High Profit,Low Discount,294.0,250.0,6.0,0,0,0
Government,Canada,Paseo,Low,2852,10,350,998200.0,19964.0,978236.0,741520.0,236716.0,2014-01-12,12,December,2014,24.2,24.2,2.0,83.0,260.0,3400.0,236716.0,24.2,1,2,Sunday,1,2015,2014-01,Enterprise,High Profit,Low Discount,343.0,260.0,7.0,0,0,0
Enterprise,Canada,Paseo,Low,2729,10,125,341125.0,6822.5,334302.5,327480.0,6822.5,2014-01-12,12,December,2014,2.04,2.04,2.0,2.5,120.0,1150.0,6822.5,2.04,1,2,Sunday,1,2015,2014-01,Enterprise,Medium Profit,Low Discount,122.5,120.0,2.5,0,0,0
Midmarket,United States Of America,Paseo,Low,1925,10,15,28875.0,577.5,28297.5,19250.0,9047.5,2013-01-12,12,December,2013,31.97,31.97,2.0,4.7,10.0,50.0,9047.5,31.97,1,2,Saturday,1,2014,2013-01,Medium,Medium Profit,Low Discount,14.7,10.0,0.3,1,0,0
Government,United States Of America,Paseo,Low,2013,10,7,14091.0,281.82,13809.18,10065.0,3744.18,2013-01-12,12,December,2013,27.11,27.11,2.0,1.86,5.0,-30.0,3744.1800000000003,27.11,1,2,Saturday,1,2014,2013-01,Medium,Low Profit,Low Discount,6.86,5.0,0.14,0,0,0
Channel Partners,France,Paseo,Low,1055,10,12,12660.0,253.2,12406.8,3165.0,9241.8,2014-01-12,12,December,2014,74.49,74.49,2.0,8.76,3.0,20.0,9241.8,74.49,1,2,Sunday,1,2015,2014-01,Medium,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Channel Partners,Mexico,Paseo,Low,1084,10,12,13008.0,260.16,12747.84,3252.0,9495.84,2014-01-12,12,December,2014,74.49,74.49,2.0,8.76,3.0,20.0,9495.84,74.49,1,2,Sunday,1,2015,2014-01,Medium,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Government,United States Of America,Velo,Low,1566,120,20,31320.0,626.4,30693.6,15660.0,15033.6,2014-01-10,10,October,2014,48.98,48.98,2.0,9.6,10.0,-83.33,15033.599999999999,48.98,1,2,Friday,0,2015,2014-01,Medium,Medium Profit,Low Discount,19.6,10.0,0.4,1,0,0
Government,Germany,Velo,Low,2966,120,350,1038100.0,20762.0,1017338.0,771160.0,246178.0,2013-01-10,10,October,2013,24.2,24.2,2.0,83.0,260.0,191.67,246178.0,24.2,1,2,Thursday,0,2014,2013-01,Enterprise,High Profit,Low Discount,343.0,260.0,7.0,0,0,0
Government,Germany,Velo,Low,2877,120,350,1006950.0,20139.0,986811.0,748020.0,238791.0,2014-01-10,10,October,2014,24.2,24.2,2.0,83.0,260.0,191.67,238791.0,24.2,1,2,Friday,0,2015,2014-01,Enterprise,High Profit,Low Discount,343.0,260.0,7.0,0,0,0
Enterprise,Germany,Velo,Low,809,120,125,101125.0,2022.5,99102.5,97080.0,2022.5,2013-01-10,10,October,2013,2.04,2.04,2.0,2.5,120.0,4.17,2022.5,2.04,1,2,Thursday,0,2014,2013-01,Large,Low Profit,Low Discount,122.5,120.0,2.5,0,0,0
Enterprise,Mexico,Velo,Low,2145,120,125,268125.0,5362.5,262762.5,257400.0,5362.5,2013-01-10,10,October,2013,2.04,2.04,2.0,2.5,120.0,4.17,5362.5,2.04,1,2,Thursday,0,2014,2013-01,Enterprise,Medium Profit,Low Discount,122.5,120.0,2.5,0,0,0
Channel Partners,France,Velo,Low,1055,120,12,12660.0,253.2,12406.8,3165.0,9241.8,2014-01-12,12,December,2014,74.49,74.49,2.0,8.76,3.0,-90.0,9241.8,74.49,1,2,Sunday,1,2015,2014-01,Medium,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Government,Mexico,Velo,Low,544,120,20,10880.0,217.6,10662.4,5440.0,5222.4,2013-01-12,12,December,2013,48.98,48.98,2.0,9.6,10.0,-83.33,5222.4,48.98,1,2,Saturday,1,2014,2013-01,Medium,Medium Profit,Low Discount,19.6,10.0,0.4,1,0,0
Channel Partners,Mexico,Velo,Low,1084,120,12,13008.0,260.16,12747.84,3252.0,9495.84,2014-01-12,12,December,2014,74.49,74.49,2.0,8.76,3.0,-90.0,9495.84,74.49,1,2,Sunday,1,2015,2014-01,Medium,Medium Profit,Low Discount,11.76,3.0,0.24,1,0,0
Enterprise,Mexico,Vtt,Low,662,250,125,82750.0,1655.0,81095.0,79440.0,1655.0,2014-01-06,6,June,2014,2.04,2.04,2.0,2.5,120.0,-50.0,1655.0,2.04,1,2,Monday,0,2015,2014-01,Large,Low Profit,Low Discount,122.5,120.0,2.5,0,0,0
Small Business,Germany,Vtt,Low,214,250,300,64200.0,1284.0,62916.0,53500.0,9416.0,2013-01-10,10,October,2013,14.97,14.97,2.0,44.0,250.0,20.0,9416.0,14.97,1,2,Thursday,0,2014,2013-01,Large,Medium Profit,Low Discount,294.0,250.0,6.0,0,0,0
Government,Germany,Vtt,Low,2877,250,350,1006950.0,20139.0,986811.0,748020.0,238791.0,2014-01-10,10,October,2014,24.2,24.2,2.0,83.0,260.0,40.0,238791.0,24.2,1,2,Friday,0,2015,2014-01,Enterprise,High Profit,Low Discount,343.0,260.0,7.0,0,0,0
Enterprise,Canada,Vtt,Low,2729,250,125,341125.0,6822.5,334302.5,327480.0,6822.5,2014-01-12,12,December,2014,2.04,2.04,2.0,2.5,120.0,-50.0,6822.5,2.04,1,2,Sunday,1,2015,2014-01,Enterprise,Medium Profit,Low Discount,122.5,120.0,2.5,0,0,0
Government,United States Of America,Vtt,Low,266,250,350,93100.0,1862.0,91238.0,69160.0,22078.0,2013-01-12,12,December,2013,24.2,24.2,2.0,83.0,260.0,40.0,22078.0,24.2,1,2,Saturday,1,2014,2013-01,Large,High Profit,Low Discount,343.0,260.0,7.0,0,0,0
Government,Mexico,Vtt,Low,1940,250,350,679000.0,13580.0,665420.0,504400.0,161020.0,2013-01-12,12,December,2013,24.2,24.2,2.0,83.0,260.0,40.0,161020.0,24.2,1,2,Saturday,1,2014,2013-01,Enterprise,High Profit,Low Discount,343.0,260.0,7.0,0,0,0
Small Business,Germany,Amarilla,Low,259,260,300,77700.0,1554.0,76146.0,64750.0,11396.0,2014-01-03,3,March,2014,14.97,14.97,2.0,44.0,250.0,15.38,11396.0,14.97,1,1,Friday,0,2014,2014-01,Large,Medium Profit,Low Discount,294.0,250.0,6.0,0,0,0
Small Business,Mexico,Amarilla,Low,1101,260,300,330300.0,6606.0,323694.0,275250.0,48444.0,2014-01-03,3,March,2014,14.97,14.97,2.0,44.0,250.0,15.38,48444.0,14.97,1,1,Friday,0,2014,2014-01,Enterprise,High Profit,Low Discount,294.0,250.0,6.0,0,0,0
Enterprise,Germany,Amarilla,Low,2276,260,125,284500.0,5690.0,278810.0,273120.0,5690.0,2014-01-05,5,May,2014,2.04,2.04,2.0,2.5,120.0,-51.92,5690.0,2.04,1,1,Sunday,1,2015,2014-01,Enterprise,Medium Profit,Low Discount,122.5,120.0,2.5,0,0,0
Government,Germany,Amarilla,Low,2966,260,350,1038100.0,20762.0,1017338.0,771160.0,246178.0,2013-01-10,10,October,2013,24.2,24.2,2.0,83.0,260.0,34.62,246178.0,24.2,1,2,Thursday,0,2014,2013-01,Enterprise,High Profit,Low Discount,343.0,260.0,7.0,0,0,0
Government,United States Of America,Amarilla,Low,1236,260,20,24720.0,494.4,24225.6,12360.0,11865.6,2014-01-11,11,November,2014,48.98,48.98,2.0,9.6,10.0,-92.31,11865.599999999999,48.98,1,2,Saturday,1,2015,2014-01,Medium,Medium Profit,Low Discount,19.6,10.0,0.4,1,0,0
